,carbon_intensity
0,0.271559294
1,0.273250418
2,0.27367345
3,0.273180737
4,0.272429447
5,0.27246268
6,0.272098603
7,0.272474295
8,0.272206981
9,0.271799981
10,0.272558626
11,0.272991795
12,0.273610181
13,0.274457044
14,0.276596768
15,0.27758264
16,0.278182432
17,0.278097356
18,0.277750872
19,0.278217005
20,0.277707625
21,0.277710169
22,0.276554278
23,0.276423557
24,0.27682455899999997
25,0.27597863899999997
26,0.27866117
27,0.2791918
28,0.280459657
29,0.279365547
30,0.27887878
31,0.278207338
32,0.277857178
33,0.278032884
34,0.278400395
35,0.278661791
36,0.2772873
37,0.27781341
38,0.278924297
39,0.279887828
40,0.27953394600000003
41,0.279364767
42,0.278543307
43,0.277908805
44,0.278940645
45,0.279740872
46,0.280476447
47,0.281179583
48,0.28086812
49,0.279126096
50,0.280220578
51,0.279296686
52,0.279059664
53,0.278806287
54,0.27951297
55,0.279752185
56,0.280417705
57,0.280355097
58,0.279409658
59,0.279729279
60,0.279441781
61,0.277967849
62,0.278483377
63,0.27771567
64,0.277669362
65,0.277656764
66,0.277168633
67,0.276585928
68,0.27686140800000003
69,0.277529385
70,0.277406263
71,0.27760325199999997
72,0.277248335
73,0.275811073
74,0.276278769
75,0.275444675
76,0.27251700100000004
77,0.270212667
78,0.26771617
79,0.264831492
80,0.26099271
81,0.256726562
82,0.25028000699999997
83,0.245386417
84,0.238973876
85,0.23441702399999997
86,0.233206233
87,0.226180379
88,0.21725149
89,0.207084598
90,0.198141972
91,0.190089358
92,0.182805517
93,0.173596373
94,0.166965193
95,0.162430404
96,0.159180304
97,0.153199961
98,0.14680902699999998
99,0.143148986
100,0.138833195
101,0.136446034
102,0.134230165
103,0.132680671
104,0.130907116
105,0.128419905
106,0.12578334800000002
107,0.123332834
108,0.11965468800000001
109,0.120827268
110,0.12275689199999999
111,0.123712894
112,0.12272475199999999
113,0.120519691
114,0.11973257699999999
115,0.11877063800000001
116,0.118099409
117,0.115926493
118,0.11449951300000001
119,0.112506433
120,0.11133415699999999
121,0.10980655800000001
122,0.10885905300000001
123,0.11057942400000001
124,0.110057322
125,0.11012572400000001
126,0.11134344
127,0.111309274
128,0.111216181
129,0.111204585
130,0.11153318599999999
131,0.11118744400000001
132,0.111534997
133,0.110448715
134,0.108441454
135,0.107467151
136,0.107601713
137,0.107704655
138,0.10854998699999999
139,0.10957361199999999
140,0.112095345
141,0.112489261
142,0.11285568800000001
143,0.111760919
144,0.110890345
145,0.109189538
146,0.11018041199999999
147,0.109026587
148,0.110789361
149,0.11204496800000001
150,0.11503715199999999
151,0.114600021
152,0.114227816
153,0.114818554
154,0.11736641199999999
155,0.119514522
156,0.120284885
157,0.122235096
158,0.12298874800000001
159,0.125812539
160,0.129212603
161,0.131540622
162,0.132835976
163,0.138459949
164,0.14448435099999998
165,0.151863783
166,0.157627463
167,0.164347518
168,0.169605416
169,0.172937626
170,0.177806749
171,0.182549598
172,0.186347139
173,0.19713244
174,0.20680525600000002
175,0.21594344199999999
176,0.224720731
177,0.23637755300000002
178,0.245843061
179,0.252751905
180,0.262211037
181,0.26774417
182,0.270765266
183,0.28055100899999996
184,0.288808015
185,0.290967369
186,0.295438472
187,0.298369518
188,0.303920311
189,0.316055357
190,0.31863979800000003
191,0.323107537
192,0.322661004
193,0.321205071
194,0.318420741
195,0.319401706
196,0.321365282
197,0.321929825
198,0.322948213
199,0.323533835
200,0.32653978699999997
201,0.32821833899999997
202,0.328654927
203,0.328080282
204,0.327698938
205,0.327319874
206,0.327363923
207,0.325820204
208,0.325494408
209,0.32622538100000004
210,0.32689032100000004
211,0.327312514
212,0.324926751
213,0.325455422
214,0.325079813
215,0.324956318
216,0.324391696
217,0.325869533
218,0.32570534100000004
219,0.324898446
220,0.324888227
221,0.325413108
222,0.32410417399999997
223,0.324412094
224,0.324914064
225,0.32444062
226,0.32414334899999997
227,0.322888589
228,0.32440755600000004
229,0.325066697
230,0.32726313
231,0.327843463
232,0.329326832
233,0.330412449
234,0.33129950399999997
235,0.331967369
236,0.331496542
237,0.33234364899999996
238,0.33346057
239,0.334355828
240,0.334473219
241,0.33581686200000005
242,0.338253525
243,0.33822558700000005
244,0.338546745
245,0.337897578
246,0.33687929299999997
247,0.33783783799999995
248,0.338351509
249,0.33965332600000003
250,0.33989951399999996
251,0.33913844200000004
252,0.33913323700000003
253,0.338048206
254,0.33704928700000003
255,0.33714004
256,0.33724109399999996
257,0.33764397700000004
258,0.339883765
259,0.339923443
260,0.340484048
261,0.34169252299999997
262,0.34338251
263,0.342726025
264,0.344718615
265,0.342505651
266,0.341226844
267,0.341717603
268,0.34104583299999996
269,0.337354761
270,0.33693516700000004
271,0.33629949200000003
272,0.336054115
273,0.33628358799999997
274,0.33558548299999996
275,0.333623614
276,0.330676604
277,0.328658022
278,0.329720611
279,0.333723259
280,0.33494032
281,0.331715963
282,0.330527282
283,0.328416191
284,0.328536919
285,0.329059952
286,0.32977683
287,0.328260802
288,0.328310363
289,0.327527788
290,0.32675514
291,0.328914527
292,0.330379945
293,0.331080991
294,0.329216452
295,0.326591083
296,0.324231873
297,0.323298861
298,0.323450449
299,0.324556425
300,0.325428999
301,0.327369164
302,0.32890444399999996
303,0.32993127899999997
304,0.328634365
305,0.327621256
306,0.32661918
307,0.327207255
308,0.327635902
309,0.326241545
310,0.327406492
311,0.32844399
312,0.328219711
313,0.327338694
314,0.326384983
315,0.32594301600000003
316,0.326609854
317,0.32711633
318,0.327141681
319,0.32756927
320,0.329209157
321,0.329664513
322,0.32910857
323,0.326779308
324,0.326432528
325,0.32700200100000004
326,0.328129177
327,0.329303825
328,0.331205982
329,0.33208489399999996
330,0.332397011
331,0.333611599
332,0.33461826100000003
333,0.333549986
334,0.331968008
335,0.332032297
336,0.329407877
337,0.32783103199999997
338,0.323484847
339,0.324848746
340,0.329100881
341,0.34067702
342,0.338923856
343,0.335997923
344,0.33578378299999995
345,0.33590289100000004
346,0.33646348600000003
347,0.336875239
348,0.336314767
349,0.336076475
350,0.332631272
351,0.331325275
352,0.332128607
353,0.330036487
354,0.330915315
355,0.33147529800000003
356,0.333238267
357,0.334082515
358,0.333118288
359,0.33237966399999996
360,0.333067278
361,0.334242355
362,0.335145972
363,0.33265004800000003
364,0.32849681199999997
365,0.325184584
366,0.32204752600000003
367,0.316008078
368,0.308536047
369,0.299529755
370,0.293819031
371,0.287879567
372,0.284540053
373,0.275041196
374,0.271558115
375,0.265729718
376,0.26059946100000003
377,0.253728477
378,0.248740307
379,0.24067724699999998
380,0.23039876399999998
381,0.222564541
382,0.217172025
383,0.214484807
384,0.211761392
385,0.209326575
386,0.21135072600000002
387,0.21013829999999997
388,0.204462367
