time,precipIntensity,precipProbability,temperature,apparentTemperature,humidity,windSpeed,windGust,windBearing,uvIndex,pressure,cloudCover,visibility,ozone
2018-12-30 16:00:00,0.0,0.0,43.65,39.69,0.34,6.7,12.11,227.0,0.0,,,,
2018-12-30 17:00:00,0.0,0.0,44.01,40.33,0.34,6.35,10.07,219.0,0.0,,,,
2018-12-30 18:00:00,0.0,0.0,42.84,40.14,0.38,4.56,9.59,319.0,0.0,,,,
2018-12-30 19:00:00,0.0,0.0,41.3,36.4,0.4,7.55,7.55,225.0,0.0,,,,
2018-12-30 20:00:00,0.0,0.0,39.22,33.42,0.41,8.42,14.72,19.0,0.0,,,,
2018-12-30 21:00:00,0.0,0.0,36.61,30.13,0.47,8.61,15.25,9.0,0.0,,,,
2018-12-30 22:00:00,0.0,0.0,37.42,31.35,0.53,8.17,11.75,340.0,0.0,,,,
2018-12-30 23:00:00,0.0,0.0,39.18,34.53,0.43,6.39,11.44,2.0,0.0,,,,
2018-12-31 00:00:00,0.0,0.0,36.82,31.94,0.52,6.05,11.76,9.0,0.0,,,,
2018-12-31 01:00:00,0.0,0.0,38.66,33.19,0.61,7.56,16.3,347.0,0.0,,,,
2018-12-31 02:00:00,0.0,0.0,37.73,32.05,0.51,7.59,18.21,333.0,0.0,,,,
2018-12-31 03:00:00,0.0032,0.31,40.44,36.2,0.54,6.14,6.93,8.0,0.0,,,,
2018-12-31 04:00:00,0.0,0.0,43.78,38.89,0.38,8.67,12.3,27.0,0.0,,,,
2018-12-31 05:00:00,0.0,0.0,44.77,39.73,0.28,9.54,15.37,1.0,0.0,,,,
2018-12-31 06:00:00,0.0,0.0,44.78,39.1,0.23,11.26,12.75,21.0,0.0,,,,
2018-12-31 07:00:00,0.0,0.0,44.06,37.84,0.22,12.3,22.74,15.0,0.0,,,,
2018-12-31 08:00:00,0.0,0.0,45.34,39.7,0.18,11.57,18.69,4.0,0.0,,,,
2018-12-31 09:00:00,0.0,0.0,41.63,35.99,0.21,9.24,18.72,7.0,0.0,,,,
2018-12-31 10:00:00,0.0,0.0,41.36,36.25,0.24,7.99,14.62,13.0,0.0,,,,
2018-12-31 11:00:00,0.0032,0.31,39.04,33.73,0.26,7.43,12.9,12.0,0.0,,,,
2018-12-31 12:00:00,0.0,0.0,37.32,31.87,0.28,7.06,11.93,11.0,0.0,,,,
2018-12-31 13:00:00,0.0,0.0,35.45,29.92,0.32,6.59,10.61,8.0,0.0,,,,
2018-12-31 14:00:00,0.0,0.0,35.47,29.01,0.28,8.11,13.01,7.0,0.0,,,,
2018-12-31 15:00:00,0.0,0.0,33.01,26.16,0.33,7.86,13.3,357.0,0.0,,,,
2018-12-31 16:00:00,0.0,0.0,32.52,25.37,0.36,8.18,10.5,7.0,0.0,,,,
2018-12-31 17:00:00,0.0,0.0,32.38,23.08,0.32,12.41,16.94,19.0,0.0,,,,
2018-12-31 18:00:00,0.0,0.0,30.66,23.41,0.36,7.69,8.9,17.0,0.0,,,,
2018-12-31 19:00:00,0.0,0.0,30.65,21.02,0.34,12.15,19.25,26.0,0.0,,,,
2018-12-31 20:00:00,0.0,0.0,29.95,23.94,0.32,5.82,12.25,20.0,0.0,,,,
2018-12-31 21:00:00,0.0,0.0,27.61,19.46,0.33,8.07,11.87,2.0,0.0,,,,
2018-12-31 22:00:00,0.0,0.0,29.74,24.23,0.31,5.2,7.74,6.0,0.0,,,,
2018-12-31 23:00:00,0.0,0.0,28.64,22.24,0.3,5.99,9.12,357.0,0.0,,,,
2019-01-01 00:00:00,0.0,0.0,32.51,27.45,0.27,5.25,10.27,19.0,0.0,,,,
2019-01-01 01:00:00,0.0,0.0,35.06,26.89,0.25,11.37,17.12,25.0,0.0,,,,
2019-01-01 02:00:00,0.0,0.0,38.25,29.25,0.2,16.08,20.11,11.0,0.0,,,,
2019-01-01 03:00:00,0.0,0.0,35.99,26.1,0.21,16.88,23.4,13.0,0.0,,,,
2019-01-01 04:00:00,0.0,0.0,37.96,29.5,0.21,14.15,19.92,17.0,0.0,,,,
2019-01-01 05:00:00,0.0,0.0,40.25,32.35,0.18,14.35,21.22,17.0,0.0,,,,
2019-01-01 06:00:00,0.0,0.0,39.74,32.27,0.18,12.68,22.09,16.0,0.0,,,,
2019-01-01 07:00:00,0.0,0.0,40.98,34.44,0.17,11.05,19.32,15.0,0.0,,,,
2019-01-01 08:00:00,0.0,0.0,38.84,32.43,0.18,9.49,14.76,16.0,0.0,,,,
2019-01-01 09:00:00,0.0,0.0,37.62,32.37,0.19,6.84,10.33,18.0,0.0,,,,
2019-01-01 10:00:00,0.0,0.0,34.77,29.74,0.23,5.72,7.5,10.0,0.0,,,,
2019-01-01 11:00:00,0.0,0.0,32.69,27.24,0.23,5.76,7.05,348.0,0.0,,,,
2019-01-01 12:00:00,0.0,0.0,28.2,21.61,0.3,6.11,12.55,7.0,0.0,,,,
2019-01-01 13:00:00,0.0,0.0,30.14,22.7,0.27,7.81,8.89,22.0,0.0,,,,
2019-01-01 14:00:00,0.0,0.0,32.51,25.26,0.25,8.36,9.13,346.0,0.0,,,,
2019-01-01 15:00:00,0.0,0.0,31.49,24.54,0.26,7.5,9.17,359.0,0.0,,,,
2019-01-01 16:00:00,0.0,0.0,30.12,21.45,0.28,9.89,12.75,5.0,0.0,,,,
2019-01-01 17:00:00,0.0,0.0,27.19,18.01,0.3,9.55,10.63,357.0,0.0,,,,
2019-01-01 18:00:00,0.0,0.0,27.26,18.74,0.31,8.51,11.85,358.0,0.0,,,,
2019-01-01 19:00:00,0.0,0.0,26.57,18.78,0.32,7.23,9.25,9.0,0.0,,,,
2019-01-01 20:00:00,0.0,0.0,28.44,21.95,0.24,6.04,9.82,30.0,0.0,,,,
2019-01-01 21:00:00,0.0,0.0,29.57,22.69,0.23,6.83,9.38,347.0,0.0,,,,
2019-01-01 22:00:00,0.0,0.0,28.44,20.78,0.28,7.6,12.41,354.0,0.0,,,,
2019-01-01 23:00:00,0.0,0.0,22.13,11.61,0.3,9.81,11.07,349.0,0.0,,,,
2019-01-02 00:00:00,0.0,0.0,30.75,22.66,0.24,9.1,11.91,16.0,0.0,,,,
2019-01-02 01:00:00,0.0,0.0,34.25,26.19,0.23,10.69,13.91,11.0,0.0,,,,
2019-01-02 02:00:00,0.0,0.0,34.98,27.02,0.19,10.87,13.12,11.0,0.0,,,,
2019-01-02 03:00:00,0.0,0.0,38.09,31.15,0.17,10.28,16.07,10.0,0.0,,,,
2019-01-02 04:00:00,0.0,0.0,40.66,33.74,0.18,11.81,16.91,12.0,0.0,,,,
2019-01-02 05:00:00,0.0,0.0,42.74,36.76,0.15,10.71,17.4,10.0,0.0,,,,
2019-01-02 06:00:00,0.0,0.0,42.65,37.63,0.17,8.38,14.95,17.0,0.0,,,,
2019-01-02 07:00:00,0.0,0.0,43.74,38.67,0.17,9.03,14.34,0.0,0.0,,,,
2019-01-02 08:00:00,0.0,0.0,41.68,36.79,0.18,7.68,13.66,11.0,0.0,,,,
2019-01-02 09:00:00,0.0,0.0,40.44,36.23,0.2,6.09,10.9,3.0,0.0,,,,
2019-01-02 10:00:00,0.0,0.0,36.1,29.82,0.24,8.03,8.35,348.0,0.0,,,,
2019-01-02 11:00:00,0.0,0.0,35.77,31.93,0.24,4.52,11.82,15.0,0.0,,,,
2019-01-02 12:00:00,0.0,0.0,34.61,30.45,0.26,4.65,10.17,62.0,0.0,,,,
2019-01-02 13:00:00,0.0,0.0,31.44,25.65,0.3,5.89,6.88,7.0,0.0,,,,
2019-01-02 14:00:00,0.0,0.0,29.93,23.81,0.33,5.95,6.77,299.0,0.0,,,,
2019-01-02 15:00:00,0.0,0.0,29.2,24.76,0.35,4.06,5.09,80.0,0.0,,,,
2019-01-02 16:00:00,0.0,0.0,28.67,22.62,0.35,5.59,7.87,102.0,0.0,,,,
2019-01-02 17:00:00,0.0,0.0,26.88,26.88,0.38,2.63,4.22,186.0,0.0,,,,
2019-01-02 18:00:00,0.0,0.0,27.85,27.85,0.39,2.99,3.61,241.0,0.0,,,,
2019-01-02 19:00:00,0.0,0.0,24.14,17.29,0.42,5.54,5.54,125.0,0.0,,,,
2019-01-02 20:00:00,0.0,0.0,24.8,18.3,0.42,5.31,6.73,112.0,0.0,,,,
2019-01-02 21:00:00,0.0,0.0,24.48,19.06,0.43,4.27,4.27,155.0,0.0,,,,
2019-01-02 22:00:00,0.0,0.0,23.96,17.41,0.42,5.21,5.59,165.0,0.0,,,,
2019-01-02 23:00:00,0.0,0.0,21.96,14.93,0.58,5.32,6.08,118.0,0.0,,,,
2019-01-03 00:00:00,0.0,0.0,26.19,26.19,0.47,2.63,2.91,230.0,0.0,,,,
2019-01-03 01:00:00,0.0,0.0,31.87,28.49,0.41,3.52,5.44,241.0,0.0,,,,
2019-01-03 02:00:00,0.0,0.0,38.37,35.47,0.27,3.97,3.97,65.0,0.0,,,,
2019-01-03 03:00:00,0.0,0.0,43.49,39.98,0.23,5.9,7.33,356.0,0.0,,,,
2019-01-03 04:00:00,0.0,0.0,47.95,45.47,0.37,5.56,7.81,48.0,0.0,,,,
