,time,precipIntensity,precipProbability,temperature,apparentTemperature,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
1969-12-31 08:00:00,1546243200,0.0,0.0,45.76,44.11,0.51,1012.3,3.83,18.36,148.0,0.0,0.0,9.997,
1969-12-31 08:00:01,1546246800,0.0,0.0,44.91,42.68,0.51,1011.0,4.39,11.75,121.0,0.0,0.0,9.997,
1969-12-31 08:00:02,1546250400,0.0,0.0,43.67,41.31,0.59,1010.7,4.29,9.49,104.0,0.0,0.0,9.997,
1969-12-31 08:00:03,1546254000,0.0,0.0,40.63,37.52,0.62,1010.4,4.6,10.36,119.0,0.0,0.0,9.997,
1969-12-31 08:00:04,1546257600,0.0,0.0,42.62,40.69,0.56,1009.5,3.62,10.26,104.0,0.0,0.0,9.997,
1969-12-31 08:00:05,1546261200,0.0,0.0,41.71,38.43,0.59,1009.5,5.06,8.64,152.0,0.0,0.0,9.997,
1969-12-31 08:00:06,1546264800,0.0,0.0,41.66,37.97,0.61,1009.9,5.63,9.75,173.0,0.23,0.0,9.997,
1969-12-31 08:00:07,1546268400,0.0,0.0,42.95,40.24,0.64,1011.7,4.59,9.03,150.0,0.29,0.0,9.997,
1969-12-31 08:00:08,1546272000,0.0007,0.18,43.7,41.57,0.69,1011.5,4.02,14.69,146.0,0.44,0.0,9.997,
1969-12-31 08:00:09,1546275600,0.0,0.0,46.98,44.87,0.7,1011.8,4.7,9.08,162.0,0.75,1.0,9.997,
1969-12-31 08:00:10,1546279200,0.0,0.0,50.59,50.59,0.64,1011.9,4.44,12.01,116.0,0.85,2.0,9.997,
1969-12-31 08:00:11,1546282800,0.0,0.0,52.19,52.19,0.61,1011.2,4.5,5.8,5.0,0.97,2.0,9.997,
1969-12-31 08:00:12,1546286400,0.0014,0.13,52.12,52.12,0.63,1010.5,3.75,6.77,342.0,1.0,2.0,9.52,
1969-12-31 08:00:13,1546290000,0.0014,0.13,51.36,51.36,0.65,1010.4,9.39,9.39,6.0,1.0,2.0,9.788,
1969-12-31 08:00:14,1546293600,0.004,0.13,51.0,51.0,0.59,1011.8,7.32,7.32,352.0,1.0,1.0,9.788,
1969-12-31 08:00:15,1546297200,0.019,0.31,51.45,51.45,0.54,1012.8,6.36,6.36,15.0,1.0,1.0,9.997,
1969-12-31 08:00:16,1546300800,0.0149,0.31,50.98,50.98,0.54,1013.0,7.73,10.72,353.0,1.0,0.0,9.997,
1969-12-31 08:00:17,1546304400,0.0049,0.16,49.35,46.95,0.63,1013.8,5.9,5.9,288.0,1.0,0.0,9.997,
1969-12-31 08:00:18,1546308000,0.0032,0.16,47.95,44.55,0.68,1014.6,7.37,8.52,267.0,1.0,0.0,9.997,
1969-12-31 08:00:19,1546311600,0.0016,0.16,46.92,43.05,0.71,1014.6,7.94,7.94,266.0,0.97,0.0,9.997,
1969-12-31 08:00:20,1546315200,0.0,0.0,47.32,43.74,0.65,1014.6,7.46,7.46,263.0,0.97,0.0,9.997,
1969-12-31 08:00:21,1546318800,0.0,0.0,46.83,43.6,0.67,1014.9,6.54,6.54,266.0,0.97,0.0,9.997,
1969-12-31 08:00:22,1546322400,0.0,0.0,46.87,44.18,0.67,1016.3,5.58,5.86,269.0,0.85,0.0,9.997,
1969-12-31 08:00:23,1546326000,0.0,0.0,46.79,44.87,0.67,1015.6,4.39,4.39,277.0,0.88,0.0,9.997,
1969-12-31 08:00:24,1546329600,0.0,0.0,45.89,44.02,0.68,1016.2,4.14,4.14,301.0,1.0,0.0,9.997,
1969-12-31 08:00:25,1546333200,0.0,0.0,44.63,42.85,0.71,1016.7,3.79,6.79,336.0,0.78,0.0,9.997,
1969-12-31 08:00:26,1546336800,0.0,0.0,43.55,41.43,0.71,1017.1,3.99,7.35,341.0,0.75,0.0,9.997,
1969-12-31 08:00:27,1546340400,0.0,0.0,43.04,43.04,0.7,1017.5,2.94,7.54,20.0,0.45,0.0,9.997,
1969-12-31 08:00:28,1546344000,0.0,0.0,41.25,41.25,0.73,1017.9,2.44,6.39,12.0,0.09,0.0,9.997,
1969-12-31 08:00:29,1546347600,0.0,0.0,39.42,39.42,0.75,1018.6,2.62,6.9,330.0,0.0,0.0,9.997,
1969-12-31 08:00:30,1546351200,0.0,0.0,38.42,36.1,0.72,1019.7,3.41,7.64,292.0,0.0,0.0,9.997,
1969-12-31 08:00:31,1546354800,0.0,0.0,37.45,34.68,0.66,1021.0,3.69,4.58,329.0,0.0,0.0,9.997,
1969-12-31 08:00:32,1546358400,0.0,0.0,39.55,37.66,0.52,1022.2,3.17,3.42,7.0,0.0,0.0,9.997,
1969-12-31 08:00:33,1546362000,0.0,0.0,43.67,40.81,0.42,1023.0,4.96,4.96,6.0,0.0,1.0,9.997,
1969-12-31 08:00:34,1546365600,0.0,0.0,48.61,44.84,0.27,1023.4,8.57,8.96,0.0,0.0,2.0,9.997,
1969-12-31 08:00:35,1546369200,0.0,0.0,51.45,51.45,0.22,1022.3,10.5,10.5,356.0,0.0,3.0,9.997,
1969-12-31 08:00:36,1546372800,0.0,0.0,53.54,53.54,0.19,1021.2,12.4,17.3,354.0,0.0,3.0,9.997,
1969-12-31 08:00:37,1546376400,0.0,0.0,53.87,53.87,0.16,1020.2,14.63,14.63,0.0,0.0,3.0,9.997,
1969-12-31 08:00:38,1546380000,0.0,0.0,54.42,54.42,0.15,1019.8,13.55,14.01,0.0,0.0,2.0,9.997,
1969-12-31 08:00:39,1546383600,0.0,0.0,54.54,54.54,0.15,1019.7,13.48,14.44,3.0,0.0,1.0,9.997,
1969-12-31 08:00:40,1546387200,0.0,0.0,54.17,54.17,0.15,1020.0,11.0,11.0,13.0,0.0,0.0,9.997,
1969-12-31 08:00:41,1546390800,0.0,0.0,51.49,51.49,0.19,1020.5,8.83,8.83,10.0,0.0,0.0,9.997,
1969-12-31 08:00:42,1546394400,0.0,0.0,48.88,46.31,0.23,1021.0,6.04,11.2,4.0,0.0,0.0,9.997,
1969-12-31 08:00:43,1546398000,0.0,0.0,44.53,42.44,0.3,1021.0,4.13,5.26,16.0,0.0,0.0,9.997,
1969-12-31 08:00:44,1546401600,0.0,0.0,42.73,41.32,0.31,1021.3,3.12,3.69,13.0,0.0,0.0,9.997,
1969-12-31 08:00:45,1546405200,0.0,0.0,40.46,37.82,0.31,1021.4,4.03,4.99,277.0,0.0,0.0,9.997,
1969-12-31 08:00:46,1546408800,0.0,0.0,39.42,36.53,0.34,1021.3,4.14,5.14,280.0,0.0,0.0,9.997,
1969-12-31 08:00:47,1546412400,0.0,0.0,38.94,36.46,0.34,1021.4,3.63,4.49,314.0,0.0,0.0,9.997,
1969-12-31 08:00:48,1546416000,0.0,0.0,36.81,33.73,0.41,1021.6,3.9,3.9,256.0,0.0,0.0,9.997,
1969-12-31 08:00:49,1546419600,0.0,0.0,36.62,32.69,0.38,1021.7,4.78,4.78,264.0,0.0,0.0,9.997,
1969-12-31 08:00:50,1546423200,0.0,0.0,37.05,33.24,0.38,1021.6,4.72,4.72,283.0,0.0,0.0,9.997,
1969-12-31 08:00:51,1546426800,0.0,0.0,36.77,33.72,0.38,1021.4,3.87,4.02,280.0,0.0,0.0,9.997,
1969-12-31 08:00:52,1546430400,0.0,0.0,36.1,31.85,0.4,1020.9,5.05,5.05,281.0,0.0,0.0,9.997,
1969-12-31 08:00:53,1546434000,0.0,0.0,35.37,31.31,0.41,1021.3,4.68,4.83,306.0,0.0,0.0,9.997,
1969-12-31 08:00:54,1546437600,0.0,0.0,34.05,31.28,0.45,1022.4,3.27,3.27,277.0,0.0,0.0,9.997,
1969-12-31 08:00:55,1546441200,0.0,0.0,36.36,33.29,0.39,1023.4,3.83,4.67,293.0,0.0,0.0,9.997,
1969-12-31 08:00:56,1546444800,0.0,0.0,38.29,34.67,0.38,1024.5,4.75,5.9,295.0,0.0,0.0,9.997,
1969-12-31 08:00:57,1546448400,0.0,0.0,43.68,40.87,0.28,1025.0,4.9,4.9,336.0,0.0,1.0,9.788,
1969-12-31 08:00:58,1546452000,0.0,0.0,50.08,50.08,0.2,1024.8,8.73,9.81,357.0,0.0,2.0,9.997,
1969-12-31 08:00:59,1546455600,0.0,0.0,54.2,54.2,0.14,1023.7,9.75,12.11,5.0,0.0,3.0,9.997,
1969-12-31 08:01:00,1546459200,0.0,0.0,56.2,56.2,0.11,1023.0,11.52,12.68,8.0,0.0,3.0,9.997,
1969-12-31 08:01:01,1546462800,0.0,0.0,57.76,57.76,0.11,1022.3,10.95,12.81,8.0,0.0,3.0,9.997,
1969-12-31 08:01:02,1546466400,0.0,0.0,58.93,58.93,0.09,1021.7,9.03,10.84,10.0,0.0,2.0,9.997,
1969-12-31 08:01:03,1546470000,0.0,0.0,59.53,59.53,0.1,1021.7,9.27,9.27,1.0,0.0,1.0,9.997,
1969-12-31 08:01:04,1546473600,0.0,0.0,59.21,59.21,0.1,1022.0,6.03,6.03,351.0,0.0,0.0,9.997,
1969-12-31 08:01:05,1546477200,0.0,0.0,56.45,56.45,0.14,1022.4,3.93,3.93,331.0,0.0,0.0,9.997,
1969-12-31 08:01:06,1546480800,0.0,0.0,52.89,52.89,0.17,1023.5,3.45,3.45,166.0,0.0,0.0,9.997,
1969-12-31 08:01:07,1546484400,0.0,0.0,49.08,48.49,0.2,1023.9,3.16,3.16,219.0,0.0,0.0,9.997,
1969-12-31 08:01:08,1546488000,0.0,0.0,45.41,43.95,0.26,1024.6,3.55,4.3,222.0,0.0,0.0,9.997,
1969-12-31 08:01:09,1546491600,0.0,0.0,43.99,42.42,0.28,1024.8,3.45,3.9,222.0,0.0,0.0,9.997,
1969-12-31 08:01:10,1546495200,0.0,0.0,41.11,38.46,0.35,1024.8,4.16,4.16,230.0,0.0,0.0,9.997,
1969-12-31 08:01:11,1546498800,0.0,0.0,39.73,37.16,0.39,1025.2,3.83,4.74,231.0,0.0,0.0,9.997,
1969-12-31 08:01:12,1546502400,0.0,0.0,37.65,34.97,0.33,1025.6,3.64,4.23,227.0,0.0,0.0,9.997,
1969-12-31 08:01:13,1546506000,0.0,0.0,36.74,34.12,0.34,1025.6,3.47,6.13,139.0,0.0,0.0,9.997,
1969-12-31 08:01:14,1546509600,0.0,0.0,36.22,33.24,0.38,1025.6,3.72,7.77,38.0,0.0,0.0,9.997,
1969-12-31 08:01:15,1546513200,0.0,0.0,37.23,37.23,0.36,1025.5,2.78,4.91,24.0,0.0,0.0,9.997,
1969-12-31 08:01:16,1546516800,0.0,0.0,37.34,37.34,0.31,1025.2,2.19,6.28,56.0,0.0,0.0,9.997,
1969-12-31 08:01:17,1546520400,0.0,0.0,34.13,31.66,0.39,1025.2,3.05,3.11,268.0,0.0,0.0,9.997,
1969-12-31 08:01:18,1546524000,0.0,0.0,34.8,31.61,0.42,1025.4,3.73,3.73,252.0,0.0,0.0,9.997,
1969-12-31 08:01:19,1546527600,0.0,0.0,34.65,31.96,0.45,1025.8,3.28,3.28,259.0,0.0,0.0,9.997,
1969-12-31 08:01:20,1546531200,0.0,0.0,35.11,35.11,0.44,1026.4,2.38,3.17,259.0,0.0,0.0,9.997,
1969-12-31 08:01:21,1546534800,0.0,0.0,40.59,38.98,0.38,1026.6,3.05,5.91,286.0,0.0,1.0,9.997,
