,time,precipIntensity,precipProbability,temperature,apparentTemperature,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility
1969-12-31 08:00:00,1546243200,0.0,0.0,42.98,37.52,0.53,1012.1,9.55,14.54,276.0,0.02,0.0,9.736
1969-12-31 08:00:01,1546246800,0.0,0.0,42.2,36.94,0.59,1011.3,8.69,12.7,259.0,0.03,0.0,9.997
1969-12-31 08:00:02,1546250400,0.0,0.0,41.43,36.3,0.64,1010.6,8.05,12.8,241.0,0.02,0.0,9.997
1969-12-31 08:00:03,1546254000,0.0,0.0,41.27,35.41,0.72,1010.8,9.55,13.46,227.0,0.11,0.0,9.997
1969-12-31 08:00:04,1546257600,0.0,0.0,40.52,35.32,0.73,1010.7,7.81,12.82,247.0,0.26,0.0,9.867
1969-12-31 08:00:05,1546261200,0.0,0.0,40.53,35.11,0.75,1010.5,8.26,13.77,242.0,0.3,0.0,10.0
1969-12-31 08:00:06,1546264800,0.0,0.0,40.28,35.25,0.77,1010.0,7.41,11.36,264.0,0.35,0.0,9.997
1969-12-31 08:00:07,1546268400,0.0,0.0,40.01,35.73,0.77,1010.7,6.07,10.88,263.0,0.35,0.0,10.0
1969-12-31 08:00:08,1546272000,0.0,0.0,41.04,36.66,0.73,1012.8,6.54,11.34,306.0,0.29,0.0,10.0
1969-12-31 08:00:09,1546275600,0.0,0.0,43.16,38.63,0.65,1013.7,7.6,12.56,316.0,0.29,1.0,10.0
1969-12-31 08:00:10,1546279200,0.0006,0.05,45.39,40.43,0.52,1013.4,9.7,16.26,11.0,0.21,2.0,10.0
1969-12-31 08:00:11,1546282800,0.0,0.0,46.33,40.39,0.4,1012.8,13.37,20.58,57.0,0.66,2.0,10.0
1969-12-31 08:00:12,1546286400,0.0,0.0,46.46,40.01,0.33,1012.2,15.41,21.51,65.0,0.72,2.0,10.0
1969-12-31 08:00:13,1546290000,0.0,0.0,47.17,41.31,0.29,1011.6,13.89,22.78,68.0,0.69,2.0,9.997
1969-12-31 08:00:14,1546293600,0.0,0.0,47.48,41.68,0.25,1010.8,13.98,21.65,64.0,0.31,2.0,9.997
1969-12-31 08:00:15,1546297200,0.0,0.0,47.28,41.71,0.22,1011.6,13.01,21.27,68.0,0.05,1.0,9.997
1969-12-31 08:00:16,1546300800,0.0,0.0,46.04,40.16,0.2,1012.3,12.89,18.59,73.0,0.05,0.0,9.997
1969-12-31 08:00:17,1546304400,0.0,0.0,42.94,37.38,0.21,1011.5,9.76,18.4,73.0,0.0,0.0,9.997
