,time,precipIntensity,precipProbability,temperature,apparentTemperature,humidity,windSpeed,windGust,windBearing,uvIndex,visibility,pressure,cloudCover
1969-12-31 16:00:00,1546243200,0.0,0.0,40.98,40.98,0.62,1.57,6.61,7.0,0.0,9.997,,
1969-12-31 16:00:01,1546246800,0.0,0.0,40.19,40.19,0.64,1.82,7.63,186.0,0.0,9.997,,
1969-12-31 16:00:02,1546250400,0.0,0.0,39.95,39.95,0.68,1.88,8.16,237.0,0.0,9.997,,
1969-12-31 16:00:03,1546254000,0.0,0.0,33.14,29.8,0.89,3.64,9.13,292.0,0.0,9.997,,
1969-12-31 16:00:04,1546257600,0.0,0.0,33.82,30.58,0.9,3.64,8.64,330.0,0.0,9.997,,
1969-12-31 16:00:05,1546261200,0.0,0.0,34.28,34.28,0.96,1.39,10.17,292.0,0.0,9.997,,
1969-12-31 16:00:06,1546264800,0.0,0.0,35.29,35.29,0.95,1.79,9.24,56.0,0.0,9.997,,
1969-12-31 16:00:07,1546268400,0.0,0.0,36.27,36.27,0.94,2.09,9.33,358.0,0.0,9.997,,
1969-12-31 16:00:08,1546272000,0.0,0.0,37.25,37.25,0.97,2.34,9.77,94.0,0.0,9.997,,
1969-12-31 16:00:09,1546275600,0.0,0.0,38.65,38.65,0.94,2.99,10.08,99.0,0.0,9.997,,
1969-12-31 16:00:10,1546279200,0.0,0.0,40.81,38.38,0.92,3.87,14.45,93.0,0.0,9.997,,
1969-12-31 16:00:11,1546282800,0.0,0.0,42.29,38.29,0.74,6.31,15.49,66.0,0.0,9.997,,
1969-12-31 16:00:12,1546286400,0.0,0.0,43.9,38.87,0.63,9.03,16.29,40.0,0.0,0.998,,
1969-12-31 16:00:13,1546290000,0.0,0.0,45.67,39.73,0.59,12.78,15.74,40.0,0.0,0.998,,
1969-12-31 16:00:14,1546293600,0.0,0.0,46.6,40.89,0.5,12.84,16.56,28.0,0.0,0.998,,
1969-12-31 16:00:15,1546297200,0.0,0.0,47.14,41.45,0.46,13.25,17.57,35.0,0.0,0.5,,
1969-12-31 16:00:16,1546300800,0.0,0.0,46.04,39.94,0.46,13.65,19.37,36.0,0.0,0.5,,
1969-12-31 16:00:17,1546304400,0.0,0.0,42.75,36.72,0.51,10.84,17.45,36.0,0.0,5.0,,
1969-12-31 16:00:18,1546308000,0.0,0.0,40.25,33.53,0.6,11.02,17.17,31.0,0.0,9.997,,
1969-12-31 16:00:19,1546311600,0.0,0.0,36.59,29.69,0.72,9.42,14.01,28.0,0.0,9.997,,
1969-12-31 16:00:20,1546315200,0.0,0.0,34.58,28.88,0.8,6.58,8.72,43.0,0.0,9.997,,
1969-12-31 16:00:21,1546318800,0.0,0.0,34.26,34.26,0.83,2.97,8.89,111.0,0.0,9.997,,
1969-12-31 16:00:22,1546322400,0.0,0.0,33.61,33.61,0.86,1.88,8.72,324.0,0.0,9.997,,
1969-12-31 16:00:23,1546326000,0.0,0.0,33.03,29.95,0.88,3.41,9.03,344.0,0.0,7.002,,
1969-12-31 16:00:24,1546329600,0.0,0.0,35.65,35.65,0.77,2.67,9.53,54.0,0.0,7.002,,
1969-12-31 16:00:25,1546333200,0.0,0.0,35.14,31.67,0.73,4.04,7.46,92.0,0.0,7.002,,
1969-12-31 16:00:26,1546336800,0.0,0.0,34.19,31.63,0.7,3.12,6.69,131.0,0.0,7.002,,
1969-12-31 16:00:27,1546340400,0.0,0.0,34.59,34.59,0.61,1.93,6.34,149.0,0.0,9.997,,
