,time,precipIntensity,precipProbability,temperature,apparentTemperature,humidity,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility
1969-12-31 16:00:00,1546243200,0.0,0.0,31.28,31.28,0.97,1.79,4.54,333.0,0.75,0.0,9.997
1969-12-31 16:00:01,1546246800,0.0,0.0,37.62,37.62,0.75,1.63,4.44,338.0,1.0,0.0,9.997
1969-12-31 16:00:02,1546250400,0.0,0.0,37.79,37.79,0.72,1.52,2.54,355.0,1.0,0.0,9.997
1969-12-31 16:00:03,1546254000,0.0,0.0,38.18,38.18,0.71,2.33,4.33,0.0,1.0,0.0,9.997
1969-12-31 16:00:04,1546257600,0.0,0.0,38.36,36.22,0.96,3.24,4.17,285.0,1.0,0.0,9.997
1969-12-31 16:00:05,1546261200,0.0,0.0,38.0,34.11,0.97,5.02,5.02,335.0,1.0,0.0,7.995
1969-12-31 16:00:06,1546264800,0.0,0.0,37.23,37.23,0.98,1.71,5.43,4.0,1.0,0.0,8.996
1969-12-31 16:00:07,1546268400,0.0,0.0,36.31,32.58,0.79,4.49,4.49,26.0,1.0,0.0,7.995
1969-12-31 16:00:08,1546272000,0.0,0.0,36.91,33.84,0.77,3.91,3.91,17.0,1.0,0.0,6.001
1969-12-31 16:00:09,1546275600,0.0,0.0,34.7,34.7,1.0,1.51,4.32,123.0,1.0,1.0,5.0
1969-12-31 16:00:10,1546279200,0.0,0.0,38.36,38.36,0.99,1.62,4.62,274.0,1.0,1.0,9.997
1969-12-31 16:00:11,1546282800,0.0,0.0,45.84,45.84,0.79,1.87,4.87,79.0,0.75,2.0,9.997
1969-12-31 16:00:12,1546286400,0.0,0.0,47.87,44.64,0.73,6.96,12.03,134.0,0.44,2.0,9.997
1969-12-31 16:00:13,1546290000,0.0,0.0,48.96,46.19,0.63,6.49,13.06,163.0,0.75,2.0,9.997
1969-12-31 16:00:14,1546293600,0.0,0.0,52.45,52.45,0.38,3.44,10.19,41.0,1.0,1.0,9.997
1969-12-31 16:00:15,1546297200,0.0,0.0,50.88,50.88,0.38,6.25,13.9,57.0,1.0,1.0,9.997
1969-12-31 16:00:16,1546300800,0.0,0.0,47.92,44.36,0.48,7.71,11.95,11.0,0.75,0.0,9.997
1969-12-31 16:00:17,1546304400,0.0,0.0,44.96,42.29,0.46,5.02,12.37,61.0,0.0,0.0,9.997
1969-12-31 16:00:18,1546308000,0.0,0.0,41.89,39.54,0.52,3.96,11.48,288.0,0.0,0.0,9.997
1969-12-31 16:00:19,1546311600,0.0,0.0,39.94,34.09,0.57,8.86,10.44,31.0,0.0,0.0,9.997
1969-12-31 16:00:20,1546315200,0.0,0.0,35.81,35.81,0.69,2.28,5.05,14.0,0.0,0.0,9.997
1969-12-31 16:00:21,1546318800,0.0,0.0,33.66,33.66,0.76,2.85,7.33,221.0,0.0,0.0,9.997
1969-12-31 16:00:22,1546322400,0.0,0.0,36.76,36.76,0.63,1.85,8.2,313.0,0.0,0.0,9.997
1969-12-31 16:00:23,1546326000,0.0,0.0,31.57,31.57,0.74,1.56,3.59,70.0,0.0,0.0,9.997
1969-12-31 16:00:24,1546329600,0.0,0.0,29.77,29.77,0.79,1.56,6.07,84.0,0.0,0.0,9.997
1969-12-31 16:00:25,1546333200,0.0,0.0,28.61,28.61,0.82,1.82,4.71,353.0,0.0,0.0,9.997
1969-12-31 16:00:26,1546336800,0.0,0.0,26.79,26.79,0.85,1.75,3.66,14.0,0.0,0.0,7.995
1969-12-31 16:00:27,1546340400,0.0,0.0,25.96,25.96,0.85,1.61,5.21,14.0,0.0,0.0,8.996
1969-12-31 16:00:28,1546344000,0.0,0.0,26.04,26.04,0.86,2.49,4.36,14.0,0.0,0.0,9.997
1969-12-31 16:00:29,1546347600,0.0,0.0,25.02,25.02,0.89,2.51,4.49,11.0,0.0,0.0,9.997
1969-12-31 16:00:30,1546351200,0.0,0.0,23.81,23.81,0.92,2.43,4.27,7.0,0.0,0.0,9.997
1969-12-31 16:00:31,1546354800,0.0,0.0,23.86,23.86,0.9,2.41,5.3,11.0,0.0,0.0,8.996
1969-12-31 16:00:32,1546358400,0.0,0.0,26.3,26.3,0.86,1.76,4.53,15.0,0.0,0.0,9.997
1969-12-31 16:00:33,1546362000,0.0,0.0,34.16,29.93,0.72,4.64,4.64,108.0,0.0,0.0,9.997
1969-12-31 16:00:34,1546365600,0.0,0.0,40.46,38.6,0.56,3.25,5.35,143.0,0.0,0.0,9.997
1969-12-31 16:00:35,1546369200,0.0,0.0,44.39,42.82,0.48,3.52,6.43,124.0,0.0,0.0,9.997
1969-12-31 16:00:36,1546372800,0.0,0.0,48.6,46.45,0.44,5.2,9.17,130.0,0.0,3.0,9.997
1969-12-31 16:00:37,1546376400,0.0,0.0,49.62,47.55,0.43,5.39,10.37,149.0,0.0,3.0,9.997
1969-12-31 16:00:38,1546380000,0.0,0.0,50.8,50.8,0.43,7.07,11.94,156.0,0.0,2.0,9.997
1969-12-31 16:00:39,1546383600,0.0,0.0,50.09,50.09,0.42,7.87,12.7,143.0,0.0,1.0,9.997
1969-12-31 16:00:40,1546387200,0.0,0.0,48.32,45.48,0.44,6.35,12.68,130.0,0.0,0.0,9.997
1969-12-31 16:00:41,1546390800,0.0,0.0,43.9,43.9,0.5,1.86,6.1,34.0,0.0,0.0,9.997
1969-12-31 16:00:42,1546394400,0.0,0.0,41.26,41.26,0.54,2.25,5.04,68.0,0.0,0.0,9.997
1969-12-31 16:00:43,1546398000,0.0,0.0,38.94,38.94,0.59,2.91,4.79,20.0,0.0,0.0,9.997
1969-12-31 16:00:44,1546401600,0.0,0.0,31.46,26.2,0.75,5.27,5.27,65.0,0.0,0.0,9.997
1969-12-31 16:00:45,1546405200,0.0,0.0,36.52,36.52,0.59,2.61,4.53,15.0,0.0,0.0,9.997
1969-12-31 16:00:46,1546408800,0.0,0.0,34.17,34.17,0.62,1.81,5.18,24.0,0.0,0.0,9.997
1969-12-31 16:00:47,1546412400,0.0,0.0,27.33,21.63,0.83,4.96,4.96,66.0,0.0,0.0,9.997
1969-12-31 16:00:48,1546416000,0.0,0.0,26.32,19.83,0.83,5.59,5.59,64.0,0.0,0.0,9.997
1969-12-31 16:00:49,1546419600,0.0,0.0,26.23,26.23,0.85,1.69,4.23,5.0,0.0,0.0,9.997
1969-12-31 16:00:50,1546423200,0.0,0.0,26.16,22.16,0.81,3.37,5.17,17.0,0.0,0.0,9.997
1969-12-31 16:00:51,1546426800,0.0,0.0,26.12,26.12,0.83,1.67,4.26,10.0,0.0,0.0,9.997
1969-12-31 16:00:52,1546430400,0.0,0.0,25.24,25.24,0.86,2.3,4.97,15.0,0.0,0.0,9.997
1969-12-31 16:00:53,1546434000,0.0,0.0,25.2,25.2,0.86,1.45,4.03,359.0,0.0,0.0,9.997
1969-12-31 16:00:54,1546437600,0.0,0.0,25.28,25.28,0.86,2.27,4.01,5.0,0.0,0.0,9.997
1969-12-31 16:00:55,1546441200,0.0,0.0,24.86,20.21,0.89,3.7,4.11,96.0,0.0,0.0,9.997
1969-12-31 16:00:56,1546444800,0.0,0.0,25.49,25.49,0.85,1.57,3.39,43.0,0.0,0.0,9.997
1969-12-31 16:00:57,1546448400,0.0,0.0,35.16,32.81,0.68,3.06,4.12,122.0,0.0,1.0,9.997
1969-12-31 16:00:58,1546452000,0.0,0.0,37.46,37.46,0.63,1.37,4.97,259.0,0.0,1.0,9.997
1969-12-31 16:00:59,1546455600,0.0,0.0,41.46,41.46,0.48,1.55,3.48,178.0,0.0,2.0,9.997
1969-12-31 16:01:00,1546459200,0.0,0.0,45.06,45.06,0.53,1.79,7.14,165.0,0.0,3.0,9.997
1969-12-31 16:01:01,1546462800,0.0,0.0,47.7,45.48,0.46,5.06,9.7,162.0,0.0,2.0,9.997
1969-12-31 16:01:02,1546466400,0.0,0.0,54.23,54.23,0.29,3.92,9.49,172.0,0.0,2.0,9.997
1969-12-31 16:01:03,1546470000,0.0,0.0,53.67,53.67,0.3,6.47,9.7,140.0,0.0,1.0,9.997
1969-12-31 16:01:04,1546473600,0.0,0.0,52.28,52.28,0.36,6.49,10.42,156.0,0.0,0.0,9.997
1969-12-31 16:01:05,1546477200,0.0,0.0,47.08,45.43,0.47,4.08,11.07,151.0,0.0,0.0,9.997
1969-12-31 16:01:06,1546480800,0.0,0.0,40.38,36.58,0.62,5.46,5.46,75.0,0.0,0.0,9.997
1969-12-31 16:01:07,1546484400,0.0,0.0,36.13,30.8,0.69,6.5,6.57,71.0,0.0,0.0,9.997
1969-12-31 16:01:08,1546488000,0.0,0.0,40.62,40.62,0.56,2.71,5.48,2.0,0.0,0.0,9.997
1969-12-31 16:01:09,1546491600,0.0,0.0,39.48,39.48,0.6,1.88,4.55,25.0,0.0,0.0,9.997
1969-12-31 16:01:10,1546495200,0.0,0.0,37.98,37.98,0.64,1.7,4.28,27.0,0.0,0.0,9.997
1969-12-31 16:01:11,1546498800,0.0,0.0,30.3,25.58,0.86,4.49,5.18,80.0,0.0,0.0,9.997
1969-12-31 16:01:12,1546502400,0.0,0.0,29.4,29.4,0.88,1.74,3.57,348.0,0.0,0.0,9.997
1969-12-31 16:01:13,1546506000,0.0,0.0,34.87,34.87,0.67,1.75,4.36,14.0,0.0,0.0,9.997
1969-12-31 16:01:14,1546509600,0.0,0.0,27.98,27.98,0.88,2.52,5.29,3.0,0.0,0.0,9.997
1969-12-31 16:01:15,1546513200,0.0,0.0,28.57,28.57,0.87,1.54,4.25,13.0,0.0,0.0,8.996
1969-12-31 16:01:16,1546516800,0.0,0.0,28.52,25.1,0.85,3.19,5.82,15.0,0.0,0.0,7.995
1969-12-31 16:01:17,1546520400,0.0,0.0,27.08,27.08,0.87,1.55,4.98,14.0,0.0,0.0,7.995
1969-12-31 16:01:18,1546524000,0.0,0.0,26.72,21.56,0.86,4.35,5.01,66.0,0.0,0.0,7.995
1969-12-31 16:01:19,1546527600,0.0,0.0,26.61,26.61,0.87,2.33,4.96,5.0,0.0,0.0,7.995
1969-12-31 16:01:20,1546531200,0.0,0.0,29.15,25.86,0.81,3.16,5.76,16.0,0.0,0.0,6.001
1969-12-31 16:01:21,1546534800,0.0,0.0,35.06,35.06,0.74,1.36,5.72,28.0,0.0,0.0,6.001
1969-12-31 16:01:22,1546538400,0.0,0.0,40.87,40.87,0.61,1.27,3.05,167.0,0.0,2.0,9.997
1969-12-31 16:01:23,1546542000,0.0,0.0,44.75,44.75,0.52,1.43,4.17,165.0,0.0,2.0,9.997
1969-12-31 16:01:24,1546545600,0.0,0.0,49.54,49.54,0.39,2.96,5.96,165.0,0.0,3.0,9.997
1969-12-31 16:01:25,1546549200,0.0,0.0,51.82,51.82,0.35,3.15,6.18,160.0,0.0,2.0,9.997
1969-12-31 16:01:26,1546552800,0.0,0.0,54.63,54.63,0.31,3.07,7.71,217.0,0.0,2.0,9.997
1969-12-31 16:01:27,1546556400,0.0,0.0,61.07,61.07,0.22,2.22,8.47,276.0,0.0,2.0,9.997
1969-12-31 16:01:28,1546560000,0.0,0.0,60.21,60.21,0.26,4.08,6.98,137.0,0.0,0.0,9.997
1969-12-31 16:01:29,1546563600,0.0,0.0,50.92,50.92,0.48,4.84,13.56,152.0,0.0,0.0,9.997
1969-12-31 16:01:30,1546567200,0.0,0.0,44.4,42.05,0.6,4.45,5.46,18.0,0.0,0.0,9.997
1969-12-31 16:01:31,1546570800,0.0,0.0,45.59,45.59,0.56,1.93,4.41,44.0,0.0,0.0,9.997
1969-12-31 16:01:32,1546574400,0.0,0.0,43.89,43.89,0.58,2.83,4.52,25.0,0.0,0.0,9.997
1969-12-31 16:01:33,1546578000,0.0,0.0,44.42,44.42,0.57,2.61,4.51,18.0,0.0,0.0,9.997
1969-12-31 16:01:34,1546581600,0.0,0.0,43.5,41.13,0.58,4.27,5.23,18.0,0.0,0.0,9.997
1969-12-31 16:01:35,1546585200,0.0,0.0,41.25,41.25,0.62,1.62,5.85,348.0,0.0,0.0,9.997
