,time,precipIntensity,precipProbability,temperature,apparentTemperature,humidity,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility
1969-12-31 16:00:00,1546243200,0.0,0.0,44.11,36.49,0.48,17.31,24.64,239.0,0.07,0.0,9.918
1969-12-31 16:00:01,1546246800,0.0,0.0,42.34,35.01,0.54,14.39,22.82,230.0,0.08,0.0,9.684
1969-12-31 16:00:02,1546250400,0.0,0.0,41.96,34.97,0.57,13.0,21.99,238.0,0.07,0.0,9.997
1969-12-31 16:00:03,1546254000,0.0,0.0,42.79,36.17,0.57,12.53,20.65,235.0,0.3,0.0,9.997
1969-12-31 16:00:04,1546257600,0.0,0.0,42.48,36.91,0.61,9.52,20.72,208.0,0.43,0.0,9.957
1969-12-31 16:00:05,1546261200,0.0,0.0,42.44,36.58,0.64,10.22,21.95,224.0,0.44,0.0,10.0
1969-12-31 16:00:06,1546264800,0.0,0.0,42.45,35.03,0.64,14.79,25.26,249.0,0.25,0.0,9.997
1969-12-31 16:00:07,1546268400,0.0,0.0,40.7,32.96,0.68,14.24,21.95,261.0,0.25,0.0,10.0
1969-12-31 16:00:08,1546272000,0.0,0.0,41.41,37.04,0.57,6.65,11.99,327.0,0.08,0.0,10.0
1969-12-31 16:00:09,1546275600,0.0,0.0,42.37,36.94,0.54,9.15,11.38,348.0,0.08,1.0,10.0
1969-12-31 16:00:10,1546279200,0.0,0.0,45.02,38.81,0.38,13.11,18.35,37.0,0.13,2.0,10.0
1969-12-31 16:00:11,1546282800,0.0,0.0,46.06,39.17,0.32,16.69,22.36,56.0,0.74,2.0,10.0
1969-12-31 16:00:12,1546286400,0.0,0.0,46.37,39.53,0.26,16.83,19.95,53.0,0.83,2.0,10.0
1969-12-31 16:00:13,1546290000,0.0,0.0,47.13,40.92,0.22,15.2,19.62,62.0,0.37,2.0,9.997
1969-12-31 16:00:14,1546293600,0.0,0.0,47.94,41.88,0.18,15.52,22.05,58.0,0.13,2.0,9.997
1969-12-31 16:00:15,1546297200,0.0,0.0,48.17,42.19,0.15,15.44,19.93,59.0,0.08,1.0,9.707
1969-12-31 16:00:16,1546300800,0.0,0.0,47.43,41.4,0.15,14.8,19.46,63.0,0.08,0.0,9.997
1969-12-31 16:00:17,1546304400,0.0,0.0,44.67,38.81,0.17,11.71,15.76,70.0,0.0,0.0,9.997
1969-12-31 16:00:18,1546308000,0.0,0.0,41.55,35.45,0.19,10.29,17.01,74.0,0.0,0.0,9.997
1969-12-31 16:00:19,1546311600,0.0,0.0,39.29,33.21,0.2,9.02,17.3,59.0,0.0,0.0,9.997
1969-12-31 16:00:20,1546315200,0.0,0.0,38.31,30.66,0.22,12.15,19.68,58.0,0.18,0.0,9.997
1969-12-31 16:00:21,1546318800,0.0,0.0,37.43,29.71,0.23,11.73,21.95,44.0,0.3,0.0,9.997
1969-12-31 16:00:22,1546322400,0.0,0.0,36.51,28.41,0.25,12.09,21.26,27.0,0.18,0.0,9.997
1969-12-31 16:00:23,1546326000,0.0,0.0,36.38,27.9,0.27,13.02,22.38,36.0,0.07,0.0,9.997
1969-12-31 16:00:24,1546329600,0.0,0.0,34.55,26.42,0.28,10.99,19.64,59.0,0.08,0.0,9.997
1969-12-31 16:00:25,1546333200,0.0,0.0,34.3,25.8,0.28,11.71,17.15,46.0,0.07,0.0,9.997
1969-12-31 16:00:26,1546336800,0.0,0.0,33.93,25.85,0.29,10.57,18.15,45.0,0.08,0.0,9.997
1969-12-31 16:00:27,1546340400,0.0,0.0,32.6,23.25,0.3,12.66,15.01,55.0,0.18,0.0,9.997
1969-12-31 16:00:28,1546344000,0.0,0.0,32.08,22.68,0.31,12.47,15.78,68.0,0.18,0.0,9.997
1969-12-31 16:00:29,1546347600,0.0,0.0,31.28,22.79,0.32,10.09,15.0,64.0,0.18,0.0,9.997
1969-12-31 16:00:30,1546351200,0.0,0.0,31.64,23.86,0.31,8.91,15.9,76.0,0.18,0.0,9.997
1969-12-31 16:00:31,1546354800,0.0,0.0,31.15,22.54,0.32,10.24,18.29,62.0,0.08,0.0,9.997
1969-12-31 16:00:32,1546358400,0.0,0.0,32.62,25.11,0.3,8.84,14.97,71.0,0.0,0.0,9.997
1969-12-31 16:00:33,1546362000,0.0,0.0,35.82,28.72,0.26,9.47,18.07,63.0,0.0,1.0,9.997
1969-12-31 16:00:34,1546365600,0.0,0.0,38.7,31.17,0.23,12.1,16.66,57.0,0.0,2.0,9.697
1969-12-31 16:00:35,1546369200,0.0,0.0,40.9,33.63,0.21,12.98,17.54,61.0,0.0,3.0,9.697
1969-12-31 16:00:36,1546372800,0.0,0.0,42.35,35.29,0.19,13.51,17.93,73.0,0.0,3.0,9.707
1969-12-31 16:00:37,1546376400,0.0,0.0,43.55,37.87,0.18,10.42,15.3,77.0,0.0,2.0,9.707
1969-12-31 16:00:38,1546380000,0.0,0.0,45.4,40.11,0.16,10.61,14.75,76.0,0.0,2.0,9.667
1969-12-31 16:00:39,1546383600,0.0,0.0,46.34,42.36,0.14,7.88,13.68,65.0,0.0,1.0,9.128
1969-12-31 16:00:40,1546387200,0.0,0.0,46.02,42.54,0.14,6.73,7.94,63.0,0.0,0.0,9.128
1969-12-31 16:00:41,1546390800,0.0,0.0,43.47,40.17,0.16,5.55,7.53,51.0,0.0,0.0,9.997
1969-12-31 16:00:42,1546394400,0.0,0.0,38.48,35.63,0.2,3.93,6.29,159.0,0.0,0.0,9.997
1969-12-31 16:00:43,1546398000,0.0,0.0,36.35,33.22,0.22,3.89,4.35,334.0,0.17,0.0,9.997
1969-12-31 16:00:44,1546401600,0.0,0.0,32.03,27.44,0.27,4.65,5.86,308.0,0.17,0.0,9.997
1969-12-31 16:00:45,1546405200,0.0,0.0,29.56,25.5,0.29,3.8,4.97,332.0,0.18,0.0,9.997
1969-12-31 16:00:46,1546408800,0.0,0.0,31.11,28.08,0.28,3.16,6.93,295.0,0.17,0.0,9.997
1969-12-31 16:00:47,1546412400,0.0,0.0,31.06,25.47,0.28,5.57,7.39,293.0,0.18,0.0,9.997
1969-12-31 16:00:48,1546416000,0.0,0.0,30.45,25.83,0.3,4.42,5.93,303.0,0.07,0.0,9.997
1969-12-31 16:00:49,1546419600,0.0,0.0,30.35,30.35,0.31,2.92,5.65,288.0,0.08,0.0,9.997
1969-12-31 16:00:50,1546423200,0.0,0.0,28.31,28.31,0.35,2.76,4.64,302.0,0.17,0.0,9.997
1969-12-31 16:00:51,1546426800,0.0,0.0,27.05,21.26,0.37,4.99,5.63,315.0,0.17,0.0,9.997
1969-12-31 16:00:52,1546430400,0.0,0.0,26.78,21.64,0.37,4.35,5.68,321.0,0.07,0.0,9.997
1969-12-31 16:00:53,1546434000,0.0,0.0,25.56,20.99,0.38,3.73,4.62,323.0,0.08,0.0,9.997
1969-12-31 16:00:54,1546437600,0.0,0.0,25.45,19.82,0.38,4.59,4.85,304.0,0.0,0.0,10.0
1969-12-31 16:00:55,1546441200,0.0,0.0,25.21,20.57,0.39,3.74,5.34,342.0,0.11,0.0,10.0
1969-12-31 16:00:56,1546444800,0.0,0.0,28.12,23.51,0.34,4.07,7.17,278.0,0.0,0.0,10.0
1969-12-31 16:00:57,1546448400,0.0,0.0,32.7,29.49,0.28,3.48,6.72,298.0,0.0,1.0,10.0
1969-12-31 16:00:58,1546452000,0.0,0.0,38.8,38.8,0.22,2.76,8.55,89.0,0.0,2.0,10.0
1969-12-31 16:00:59,1546455600,0.0,0.0,42.12,39.79,0.18,3.98,12.53,83.0,0.0,3.0,10.0
1969-12-31 16:01:00,1546459200,0.0,0.0,44.49,42.05,0.16,4.59,12.05,84.0,0.0,3.0,10.0
1969-12-31 16:01:01,1546462800,0.0,0.0,46.36,42.97,0.16,6.66,14.96,75.0,0.0,3.0,10.0
1969-12-31 16:01:02,1546466400,0.0,0.0,47.41,44.33,0.15,6.48,11.8,82.0,0.0,2.0,10.0
