,time,precipIntensity,precipProbability,temperature,apparentTemperature,humidity,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility
1969-12-31 16:00:00,1546243200,0.0,0.0,36.43,26.86,0.64,16.25,23.53,248.0,0.12,0.0,9.568
1969-12-31 16:00:01,1546246800,0.0,0.0,36.12,26.37,0.66,16.54,22.28,235.0,0.15,0.0,9.935
1969-12-31 16:00:02,1546250400,0.0,0.0,36.71,28.38,0.68,12.85,22.61,246.0,0.12,0.0,9.997
1969-12-31 16:00:03,1546254000,0.0,0.0,37.62,28.97,0.69,14.46,23.5,243.0,0.61,0.0,9.997
1969-12-31 16:00:04,1546257600,0.0,0.0,36.79,28.61,0.74,12.5,20.42,237.0,0.86,0.0,9.783
1969-12-31 16:00:05,1546261200,0.0,0.0,37.66,28.97,0.73,14.59,19.28,238.0,0.83,0.0,10.0
1969-12-31 16:00:06,1546264800,0.0,0.0,37.55,29.46,0.74,12.78,16.81,265.0,0.5,0.0,9.997
1969-12-31 16:00:07,1546268400,0.0,0.0,36.29,27.98,0.77,12.49,15.64,253.0,0.5,0.0,10.0
1969-12-31 16:00:08,1546272000,0.0,0.0,37.45,32.58,0.67,6.21,14.75,298.0,0.22,0.0,10.0
1969-12-31 16:00:09,1546275600,0.0,0.0,38.11,31.64,0.66,9.27,11.13,235.0,0.22,1.0,10.0
1969-12-31 16:00:10,1546279200,0.0,0.0,40.7,36.06,0.52,6.87,10.77,45.0,0.22,2.0,10.0
1969-12-31 16:00:11,1546282800,0.0,0.0,41.79,35.05,0.43,12.13,16.48,73.0,0.79,2.0,10.0
1969-12-31 16:00:12,1546286400,0.0,0.0,42.32,34.75,0.32,15.21,17.69,79.0,0.8,2.0,10.0
1969-12-31 16:00:13,1546290000,0.0,0.0,42.93,35.9,0.27,13.95,19.27,85.0,0.55,2.0,9.997
1969-12-31 16:00:14,1546293600,0.0,0.0,44.02,38.16,0.22,11.24,18.52,71.0,0.18,2.0,9.997
1969-12-31 16:00:15,1546297200,0.0,0.0,43.71,37.34,0.2,12.49,20.67,76.0,0.16,1.0,9.948
1969-12-31 16:00:16,1546300800,0.0,0.0,42.99,35.6,0.18,15.23,20.46,76.0,0.16,0.0,9.997
1969-12-31 16:00:17,1546304400,0.0,0.0,40.2,34.47,0.19,8.72,10.55,75.0,0.0,0.0,9.997
1969-12-31 16:00:18,1546308000,0.0,0.0,38.48,32.02,0.2,9.43,13.26,93.0,0.0,0.0,9.997
1969-12-31 16:00:19,1546311600,0.0,0.0,36.97,30.93,0.2,7.95,14.73,88.0,0.0,0.0,9.997
1969-12-31 16:00:20,1546315200,0.0,0.0,36.7,27.08,0.23,16.68,22.09,75.0,0.28,0.0,9.997
1969-12-31 16:00:21,1546318800,0.0,0.0,35.81,26.53,0.24,14.83,24.01,74.0,0.48,0.0,9.997
1969-12-31 16:00:22,1546322400,0.0,0.0,34.35,25.63,0.27,12.26,15.9,52.0,0.28,0.0,9.997
1969-12-31 16:00:23,1546326000,0.0,0.0,33.7,25.4,0.28,10.9,15.04,45.0,0.12,0.0,9.997
1969-12-31 16:00:24,1546329600,0.0,0.0,33.88,24.14,0.27,14.59,21.21,69.0,0.12,0.0,9.997
1969-12-31 16:00:25,1546333200,0.0,0.0,32.48,23.95,0.29,10.74,16.18,63.0,0.12,0.0,9.997
1969-12-31 16:00:26,1546336800,0.0,0.0,32.17,25.41,0.29,7.43,11.13,34.0,0.15,0.0,9.997
1969-12-31 16:00:27,1546340400,0.0,0.0,32.07,25.38,0.29,7.3,13.39,76.0,0.36,0.0,9.997
1969-12-31 16:00:28,1546344000,0.0,0.0,29.54,20.34,0.32,10.64,14.74,59.0,0.36,0.0,9.997
1969-12-31 16:00:29,1546347600,0.0,0.0,31.58,25.97,0.3,5.71,8.15,50.0,0.36,0.0,9.997
1969-12-31 16:00:30,1546351200,0.0,0.0,29.16,22.78,0.33,6.09,12.41,79.0,0.36,0.0,9.997
1969-12-31 16:00:31,1546354800,0.0,0.0,28.98,19.46,0.33,11.0,19.48,50.0,0.15,0.0,9.997
1969-12-31 16:00:32,1546358400,0.0,0.0,33.02,25.38,0.27,9.23,13.92,70.0,0.0,0.0,9.997
1969-12-31 16:00:33,1546362000,0.0,0.0,34.02,24.67,0.25,13.62,21.01,92.0,0.0,1.0,9.997
1969-12-31 16:00:34,1546365600,0.0,0.0,36.26,28.57,0.24,10.98,14.72,92.0,0.0,2.0,9.948
1969-12-31 16:00:35,1546369200,0.0,0.0,38.24,30.33,0.21,12.77,16.36,78.0,0.0,3.0,9.948
1969-12-31 16:00:36,1546372800,0.0,0.0,39.49,32.63,0.2,10.89,15.0,81.0,0.0,3.0,9.948
1969-12-31 16:00:37,1546376400,0.0,0.0,40.62,33.48,0.18,12.41,15.97,81.0,0.0,3.0,9.948
1969-12-31 16:00:38,1546380000,0.0,0.0,41.78,36.24,0.17,9.09,12.19,95.0,0.0,2.0,9.734
1969-12-31 16:00:39,1546383600,0.0,0.0,41.87,37.52,0.17,6.78,9.55,87.0,0.0,1.0,9.851
1969-12-31 16:00:40,1546387200,0.0,0.0,41.66,38.8,0.17,4.51,7.87,91.0,0.0,0.0,9.851
1969-12-31 16:00:41,1546390800,0.0,0.0,38.15,35.21,0.19,3.97,6.56,64.0,0.0,0.0,9.997
1969-12-31 16:00:42,1546394400,0.0,0.0,32.69,32.69,0.31,2.6,4.97,246.0,0.0,0.0,9.997
1969-12-31 16:00:43,1546398000,0.0,0.0,30.37,26.84,0.31,3.46,3.78,284.0,0.28,0.0,9.997
1969-12-31 16:00:44,1546401600,0.0,0.0,28.61,23.35,0.33,4.74,5.94,296.0,0.28,0.0,9.997
1969-12-31 16:00:45,1546405200,0.0,0.0,29.02,24.53,0.29,4.09,6.49,332.0,0.36,0.0,9.997
1969-12-31 16:00:46,1546408800,0.0,0.0,28.87,24.33,0.32,4.11,6.41,298.0,0.28,0.0,9.997
1969-12-31 16:00:47,1546412400,0.0,0.0,29.53,22.95,0.32,6.42,8.1,289.0,0.36,0.0,9.997
1969-12-31 16:00:48,1546416000,0.0,0.0,28.77,23.23,0.32,5.06,6.6,29.0,0.12,0.0,9.997
1969-12-31 16:00:49,1546419600,0.0,0.0,28.8,23.73,0.32,4.59,7.44,272.0,0.15,0.0,9.997
1969-12-31 16:00:50,1546423200,0.0,0.0,26.5,22.41,0.37,3.47,4.5,284.0,0.28,0.0,9.997
1969-12-31 16:00:51,1546426800,0.0,0.0,26.36,19.75,0.38,5.73,6.93,293.0,0.28,0.0,9.997
1969-12-31 16:00:52,1546430400,0.0,0.0,25.39,20.12,0.39,4.27,5.7,284.0,0.12,0.0,9.997
1969-12-31 16:00:53,1546434000,0.0,0.0,25.21,20.71,0.36,3.63,3.82,287.0,0.15,0.0,9.997
1969-12-31 16:00:54,1546437600,0.0,0.0,24.24,19.72,0.38,3.55,4.28,275.0,0.0,0.0,10.0
1969-12-31 16:00:55,1546441200,0.0,0.0,26.68,20.04,0.33,5.83,8.72,39.0,0.13,0.0,10.0
1969-12-31 16:00:56,1546444800,0.0,0.0,29.53,23.26,0.3,6.04,8.68,30.0,0.0,0.0,10.0
1969-12-31 16:00:57,1546448400,0.0,0.0,34.79,31.64,0.24,3.68,4.59,128.0,0.0,1.0,10.0
1969-12-31 16:00:58,1546452000,0.0,0.0,39.34,35.92,0.2,4.72,9.03,105.0,0.0,2.0,10.0
1969-12-31 16:00:59,1546455600,0.0,0.0,41.11,36.67,0.18,6.67,12.92,110.0,0.0,3.0,10.0
1969-12-31 16:01:00,1546459200,0.0,0.0,42.42,37.68,0.18,7.7,12.02,101.0,0.0,3.0,10.0
1969-12-31 16:01:01,1546462800,0.0,0.0,43.2,38.12,0.18,8.78,14.24,89.0,0.0,3.0,10.0
1969-12-31 16:01:02,1546466400,0.0,0.0,43.94,39.05,0.19,8.75,12.2,91.0,0.0,2.0,10.0
1969-12-31 16:01:03,1546470000,0.0,0.0,44.12,38.79,0.19,9.89,13.03,111.0,0.0,1.0,10.0
1969-12-31 16:01:04,1546473600,0.0,0.0,43.42,39.39,0.2,6.76,8.93,83.0,0.0,0.0,10.0
1969-12-31 16:01:05,1546477200,0.0,0.0,41.73,37.65,0.23,6.27,8.86,129.0,0.0,0.0,10.0
1969-12-31 16:01:06,1546480800,0.0,0.0,38.47,36.41,0.26,3.19,4.44,45.0,0.15,0.0,10.0
1969-12-31 16:01:07,1546484400,0.0,0.0,35.99,32.6,0.29,4.09,5.33,8.0,0.12,0.0,10.0
1969-12-31 16:01:08,1546488000,0.0,0.0,33.51,30.34,0.33,3.53,5.85,6.0,0.12,0.0,10.0
1969-12-31 16:01:09,1546491600,0.0,0.0,32.19,28.15,0.34,4.13,4.65,332.0,0.12,0.0,10.0
1969-12-31 16:01:10,1546495200,0.0,0.0,31.6,26.57,0.36,5.04,7.0,291.0,0.12,0.0,10.0
1969-12-31 16:01:11,1546498800,0.0,0.0,33.72,28.51,0.34,5.7,8.8,350.0,0.12,0.0,9.997
1969-12-31 16:01:12,1546502400,0.0,0.0,30.48,25.28,0.4,5.0,6.76,312.0,0.28,0.0,9.997
1969-12-31 16:01:13,1546506000,0.0,0.0,31.7,25.65,0.39,6.28,8.71,34.0,0.0,0.0,9.997
1969-12-31 16:01:14,1546509600,0.0,0.0,31.43,25.05,0.4,6.66,8.08,18.0,0.12,0.0,9.997
1969-12-31 16:01:15,1546513200,0.0,0.0,31.29,24.38,0.41,7.39,11.15,47.0,0.12,0.0,9.997
1969-12-31 16:01:16,1546516800,0.0,0.0,29.8,25.24,0.44,4.27,6.28,327.0,0.15,0.0,9.181
1969-12-31 16:01:17,1546520400,0.0,0.0,29.19,23.18,0.45,5.65,8.81,301.0,0.12,0.0,9.997
1969-12-31 16:01:18,1546524000,0.0,0.0,30.26,24.38,0.43,5.73,10.98,40.0,0.12,0.0,10.0
1969-12-31 16:01:19,1546527600,0.0,0.0,30.08,25.86,0.43,4.0,7.38,202.0,0.0,0.0,10.0
