,time,precipIntensity,precipProbability,temperature,apparentTemperature,humidity,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
1969-12-31 16:00:00,1546243200,0.0,0.0,44.23,40.89,0.84,5.85,9.49,333.0,0.08,0.0,5.133,
1969-12-31 16:00:01,1546246800,0.0,0.0,43.39,40.24,0.85,5.3,8.63,340.0,0.03,0.0,4.746,
1969-12-31 16:00:02,1546250400,0.0,0.0,42.84,40.3,0.83,4.36,7.61,332.0,0.04,0.0,5.573,
1969-12-31 16:00:03,1546254000,0.0,0.0,43.09,40.09,0.75,5.03,9.21,330.0,0.03,0.0,4.996,
1969-12-31 16:00:04,1546257600,0.0,0.0,45.21,40.99,0.6,7.89,14.66,322.0,0.0,0.0,5.569,
1969-12-31 16:00:05,1546261200,0.0,0.0,45.68,40.35,0.55,10.93,23.64,327.0,0.0,0.0,4.501,
1969-12-31 16:00:06,1546264800,0.0,0.0,45.88,39.64,0.5,14.02,25.32,331.0,0.02,0.0,6.027,
1969-12-31 16:00:07,1546268400,0.0,0.0,46.05,39.82,0.47,14.1,26.35,328.0,0.0,0.0,6.447,
1969-12-31 16:00:08,1546272000,0.0,0.0,45.96,39.31,0.44,15.59,25.55,332.0,0.0,0.0,6.447,
1969-12-31 16:00:09,1546275600,0.0,0.0,46.2,39.32,0.43,16.83,28.38,336.0,0.0,0.0,6.519,
1969-12-31 16:00:10,1546279200,0.0,0.0,47.84,41.13,0.4,18.22,30.31,342.0,0.0,1.0,6.005,
1969-12-31 16:00:11,1546282800,0.0,0.0,49.95,43.71,0.36,19.05,30.15,350.0,0.0,2.0,6.519,
1969-12-31 16:00:12,1546286400,0.0,0.0,51.15,51.15,0.33,18.25,31.07,343.0,0.0,2.0,6.492,
1969-12-31 16:00:13,1546290000,0.0,0.0,52.3,52.3,0.32,18.99,31.16,348.0,0.0,2.0,6.231,
1969-12-31 16:00:14,1546293600,0.0,0.0,52.94,52.94,0.3,19.23,32.74,347.0,0.0,1.0,6.228,
1969-12-31 16:00:15,1546297200,0.0,0.0,53.3,53.3,0.29,17.96,31.13,346.0,0.0,1.0,6.519,
1969-12-31 16:00:16,1546300800,0.0,0.0,53.09,53.09,0.29,16.94,27.54,343.0,0.0,0.0,6.519,
1969-12-31 16:00:17,1546304400,0.0,0.0,51.57,51.57,0.31,15.95,24.34,348.0,0.0,0.0,6.415,
1969-12-31 16:00:18,1546308000,0.0,0.0,49.93,44.49,0.33,15.26,24.45,346.0,0.0,0.0,6.415,
1969-12-31 16:00:19,1546311600,0.0,0.0,48.87,43.31,0.34,14.52,25.51,340.0,0.0,0.0,6.519,
1969-12-31 16:00:20,1546315200,0.0,0.0,47.95,42.47,0.35,13.25,20.71,347.0,0.0,0.0,6.519,
1969-12-31 16:00:21,1546318800,0.0,0.0,46.39,40.78,0.37,12.3,19.63,351.0,0.0,0.0,6.519,
1969-12-31 16:00:22,1546322400,0.0,0.0,45.19,39.47,0.38,11.72,19.36,352.0,0.0,0.0,6.519,
1969-12-31 16:00:23,1546326000,0.0,0.0,44.23,38.23,0.38,11.79,20.4,351.0,0.0,0.0,6.519,
1969-12-31 16:00:24,1546329600,0.0,0.0,43.48,37.13,0.38,12.26,21.95,350.0,0.0,0.0,6.415,
1969-12-31 16:00:25,1546333200,0.0,0.0,43.13,36.84,0.39,11.83,20.94,355.0,0.0,0.0,5.876,
1969-12-31 16:00:26,1546336800,0.0,0.0,42.68,36.06,0.39,12.45,22.14,354.0,0.0,0.0,5.876,
