,windBearing
1969-12-31 16:00:00,290.0
1969-12-31 16:00:01,277.0
1969-12-31 16:00:02,265.0
1969-12-31 16:00:03,307.0
1969-12-31 16:00:04,303.0
1969-12-31 16:00:05,207.0
1969-12-31 16:00:06,208.0
1969-12-31 16:00:07,94.0
1969-12-31 16:00:08,51.0
1969-12-31 16:00:09,80.0
1969-12-31 16:00:10,107.0
1969-12-31 16:00:11,116.0
1969-12-31 16:00:12,92.0
1969-12-31 16:00:13,102.0
1969-12-31 16:00:14,93.0
1969-12-31 16:00:15,98.0
1969-12-31 16:00:16,98.0
1969-12-31 16:00:17,99.0
1969-12-31 16:00:18,102.0
1969-12-31 16:00:19,83.0
1969-12-31 16:00:20,122.0
1969-12-31 16:00:21,170.0
1969-12-31 16:00:22,250.0
1969-12-31 16:00:23,186.0
1969-12-31 16:00:24,230.0
1969-12-31 16:00:25,298.0
1969-12-31 16:00:26,251.0
1969-12-31 16:00:27,258.0
1969-12-31 16:00:28,258.0
1969-12-31 16:00:29,196.0
1969-12-31 16:00:30,231.0
1969-12-31 16:00:31,226.0
1969-12-31 16:00:32,191.0
1969-12-31 16:00:33,187.0
1969-12-31 16:00:34,165.0
1969-12-31 16:00:35,108.0
1969-12-31 16:00:36,206.0
1969-12-31 16:00:37,241.0
1969-12-31 16:00:38,236.0
1969-12-31 16:00:39,252.0
1969-12-31 16:00:40,225.0
1969-12-31 16:00:41,233.0
1969-12-31 16:00:42,248.0
1969-12-31 16:00:43,240.0
1969-12-31 16:00:44,260.0
1969-12-31 16:00:45,283.0
1969-12-31 16:00:46,275.0
1969-12-31 16:00:47,283.0
1969-12-31 16:00:48,294.0
1969-12-31 16:00:49,290.0
1969-12-31 16:00:50,290.0
1969-12-31 16:00:51,286.0
1969-12-31 16:00:52,287.0
1969-12-31 16:00:53,291.0
1969-12-31 16:00:54,273.0
1969-12-31 16:00:55,263.0
1969-12-31 16:00:56,255.0
1969-12-31 16:00:57,266.0
1969-12-31 16:00:58,239.0
1969-12-31 16:00:59,245.0
1969-12-31 16:01:00,270.0
1969-12-31 16:01:01,286.0
1969-12-31 16:01:02,285.0
1969-12-31 16:01:03,272.0
1969-12-31 16:01:04,268.0
1969-12-31 16:01:05,249.0
1969-12-31 16:01:06,255.0
1969-12-31 16:01:07,252.0
1969-12-31 16:01:08,259.0
1969-12-31 16:01:09,277.0
1969-12-31 16:01:10,285.0
1969-12-31 16:01:11,295.0
1969-12-31 16:01:12,289.0
1969-12-31 16:01:13,290.0
1969-12-31 16:01:14,289.0
1969-12-31 16:01:15,284.0
1969-12-31 16:01:16,283.0
1969-12-31 16:01:17,288.0
1969-12-31 16:01:18,296.0
1969-12-31 16:01:19,290.0
1969-12-31 16:01:20,303.0
1969-12-31 16:01:21,295.0
1969-12-31 16:01:22,298.0
1969-12-31 16:01:23,295.0
1969-12-31 16:01:24,301.0
1969-12-31 16:01:25,286.0
1969-12-31 16:01:26,294.0
1969-12-31 16:01:27,293.0
1969-12-31 16:01:28,289.0
1969-12-31 16:01:29,295.0
1969-12-31 16:01:30,295.0
1969-12-31 16:01:31,306.0
1969-12-31 16:01:32,299.0
1969-12-31 16:01:33,303.0
1969-12-31 16:01:34,302.0
1969-12-31 16:01:35,294.0
1969-12-31 16:01:36,303.0
1969-12-31 16:01:37,299.0
1969-12-31 16:01:38,294.0
1969-12-31 16:01:39,296.0
1969-12-31 16:01:40,292.0
1969-12-31 16:01:41,295.0
1969-12-31 16:01:42,267.0
1969-12-31 16:01:43,288.0
1969-12-31 16:01:44,39.0
1969-12-31 16:01:45,60.0
