,time,precipIntensity,precipProbability,temperature,apparentTemperature,humidity,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipAccumulation,ozone
1969-12-31 16:00:00,1546243200,0.0,0.0,38.83,32.08,0.6,10.27,16.54,278.0,0.04,0.0,9.351,,
1969-12-31 16:00:01,1546246800,0.0,0.0,38.32,31.57,0.64,9.99,16.54,261.0,0.06,0.0,9.997,,
1969-12-31 16:00:02,1546250400,0.0,0.0,38.08,31.46,0.7,9.55,16.07,262.0,0.04,0.0,9.997,,
1969-12-31 16:00:03,1546254000,0.0,0.0,38.25,31.34,0.76,10.31,15.73,249.0,0.21,0.0,9.997,,
1969-12-31 16:00:04,1546257600,0.0,0.0,37.63,31.26,0.77,8.82,15.25,260.0,0.51,0.0,9.674,,
1969-12-31 16:00:05,1546261200,0.0,0.0,37.84,31.45,0.78,8.97,16.24,253.0,0.48,0.0,8.666,,
1969-12-31 16:00:06,1546264800,0.0,0.0,37.49,31.36,0.79,8.33,12.54,278.0,0.59,0.0,9.997,,
1969-12-31 16:00:07,1546268400,0.0,0.0,37.18,31.51,0.79,7.38,11.38,275.0,0.59,0.0,9.816,,
1969-12-31 16:00:08,1546272000,0.0,0.0,37.7,33.11,0.76,5.87,10.83,306.0,0.5,0.0,8.321,,
1969-12-31 16:00:09,1546275600,0.0,0.0,39.04,34.46,0.72,6.23,10.83,318.0,0.5,1.0,8.237,,
1969-12-31 16:00:10,1546279200,0.0007,0.06,40.83,35.54,0.62,8.1,12.99,6.0,0.31,2.0,9.997,,
1969-12-31 16:00:11,1546282800,0.0005,0.03,41.84,35.8,0.52,10.32,15.13,56.0,0.76,2.0,9.997,,
1969-12-31 16:00:12,1546286400,0.0,0.0,42.14,35.25,0.42,12.81,16.16,70.0,0.83,2.0,9.997,,
1969-12-31 16:00:13,1546290000,0.0,0.0,43.33,37.09,0.33,11.8,18.87,79.0,0.74,2.0,9.997,,
1969-12-31 16:00:14,1546293600,0.0,0.0,43.93,37.95,0.29,11.51,18.75,66.0,0.26,2.0,9.997,,
1969-12-31 16:00:15,1546297200,0.0,0.0,43.73,37.92,0.27,10.9,18.47,72.0,0.1,1.0,9.997,,
1969-12-31 16:00:16,1546300800,0.0,0.0,42.24,35.73,0.25,11.83,17.91,81.0,0.1,0.0,9.997,,
